uid	:ID	identifier:string	name:string	:LABEL
104	HP:0003165	HP:0003165	Elevated circulating parathyroid hormone level	Symptom
105	PC7_3972	PC7_3972	Formation of the ternary complex, and subsequently, the 43S complex	Pathway
106	ORPHA:101108	ORPHA:101108	Spinocerebellar ataxia type 23	Disease
107	4644	4644	MYO5A	Gene
108	GO:0032507	GO:0032507	maintenance of protein location in cell	Biological Process
109	2175	2175	FANCA	Gene
110	161253	161253	REM2	Gene
111	ORPHA:295203	ORPHA:295203	Congenital vertical talus, bilateral	Disease
112	55057	55057	AIM1L	Gene
113	246318	246318	FLJ13773	Gene
114	4052	4052	LTBP1	Gene
115	HP:0010619	HP:0010619	Fibroadenoma of the breast	Symptom
116	54819	54819	ZCCHC10	Gene
117	ORPHA:2590	ORPHA:2590	Spinal muscular atrophy-progressive myoclonic epilepsy syndrome	Disease
118	GO:0043551	GO:0043551	regulation of phosphatidylinositol 3-kinase activity	Biological Process
119	121227	121227	LRIG3	Gene
120	GO:0002606	GO:0002606	positive regulation of dendritic cell antigen processing and presentation	Biological Process
121	1329	1329	COX5B	Gene
122	9060	9060	PAPSS2	Gene
123	HP:0005922	HP:0005922	Abnormal hand morphology	Symptom
124	GO:1900274	GO:1900274	regulation of phospholipase C activity	Biological Process
125	GO:0035304	GO:0035304	regulation of protein dephosphorylation	Biological Process
126	GO:0051694	GO:0051694	pointed-end actin filament capping	Biological Process
127	55765	55765	C1orf106	Gene
128	26223	26223	FBXL21	Gene
129	GO:0010871	GO:0010871	negative regulation of receptor biosynthetic process	Biological Process
130	57475	57475	PLEKHH1	Gene
131	PC7_4588	PC7_4588	IL1-mediated signaling events	Pathway
132	84892	84892	POMGNT2	Gene
133	D000419	D000419	Albuminuria	Symptom
134	GO:1904715	GO:1904715	negative regulation of chaperone-mediated autophagy	Biological Process
135	4843	4843	NOS2	Gene
136	GO:0009948	GO:0009948	anterior/posterior axis specification	Biological Process
137	GO:0034315	GO:0034315	regulation of Arp2/3 complex-mediated actin nucleation	Biological Process
138	ORPHA:401800	ORPHA:401800	Autosomal recessive spastic paraplegia type 60	Disease
139	DB01031	DB01031	Ethinamate	Compound
140	C0853772	C0853772	Blood calcium abnormal	Side Effect
141	ORPHA:247691	ORPHA:247691	Retinal vasculopathy and cerebral leukoencephalopathy	Disease
142	GO:1902528	GO:1902528	regulation of protein linear polyubiquitination	Biological Process
143	ORPHA:268249	ORPHA:268249	Mycophenolate mofetil embryopathy	Disease
144	114794	114794	ELFN2	Gene
145	3344	3344	FOXN2	Gene
146	11083	11083	DIDO1	Gene
147	C0424444	C0424444	Teeth clenching	Side Effect
148	GO:0061213	GO:0061213	positive regulation of mesonephros development	Biological Process
149	ORPHA:2848	ORPHA:2848	Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome	Disease
150	100132154	100132154	LOC100132154	Gene
151	HP:0001653	HP:0001653	Mitral regurgitation	Symptom
152	C0853402	C0853402	Exposure to poisonous plant	Side Effect
153	51503	51503	CWC15	Gene
154	GO:0043125	GO:0043125	ErbB-3 class receptor binding	Molecular Function
155	C0042130	C0042130	Uterine contractions	Side Effect
156	C0234535	C0234535	Clonic convulsion	Side Effect
157	ORPHA:1946	ORPHA:1946	Amelocerebrohypohidrotic syndrome	Disease
158	HP:0006706	HP:0006706	Cystic liver disease	Symptom
159	26027	26027	ACOT11	Gene
160	ORPHA:101003	ORPHA:101003	Autosomal recessive spastic paraplegia type 23	Disease
161	ORPHA:2855	ORPHA:2855	Perrault syndrome	Disease
162	84440	84440	RAB11FIP4	Gene
163	4135	4135	MAP6	Gene
164	GO:0004850	GO:0004850	uridine phosphorylase activity	Molecular Function
165	GO:0033188	GO:0033188	sphingomyelin synthase activity	Molecular Function
166	GO:0097369	GO:0097369	sodium ion import	Biological Process
167	C0427085	C0427085	Jerky movement NOS	Side Effect
168	GO:0016032	GO:0016032	viral process	Biological Process
169	GO:0002855	GO:0002855	regulation of natural killer cell mediated immune response to tumor cell	Biological Process
170	HP:0000433	HP:0000433	Abnormality of the nasal mucosa	Symptom
171	11078	11078	TRIOBP	Gene
172	2892	2892	GRIA3	Gene
173	GO:0048333	GO:0048333	mesodermal cell differentiation	Biological Process
174	3875	3875	KRT18	Gene
175	ORPHA:98849	ORPHA:98849	Systemic mastocytosis with an associated clonal hematologic non-mast cell lineage disease	Disease
176	DOID:0060119	DOID:0060119	pharynx cancer	Disease
177	8220	8220	DGCR14	Gene
178	GO:0030910	GO:0030910	olfactory placode formation	Biological Process
179	105372824	105372824	LOC105372824	Gene
180	6150	6150	MRPL23	Gene
181	9849	9849	ZNF518A	Gene
182	GO:2000379	GO:2000379	positive regulation of reactive oxygen species metabolic process	Biological Process
183	HP:0002324	HP:0002324	Hydranencephaly	Symptom
184	C0009024	C0009024	Clonus	Side Effect
185	C1096387	C1096387	Chemical eye injury	Side Effect
186	D006606	D006606	Hiccup	Symptom
187	23305	23305	ACSL6	Gene
188	GO:0004797	GO:0004797	thymidine kinase activity	Molecular Function
189	GO:0002320	GO:0002320	lymphoid progenitor cell differentiation	Biological Process
190	5624	5624	PROC	Gene
191	HP:0001601	HP:0001601	Laryngomalacia	Symptom
192	ORPHA:199251	ORPHA:199251	Ledderhose disease	Disease
193	90625	90625	ERVH48-1	Gene
194	2696	2696	GIPR	Gene
195	10435	10435	CDC42EP2	Gene
196	C0003467	C0003467	Anxiety	Side Effect
197	GO:0001221	GO:0001221	transcription cofactor binding	Molecular Function
198	GO:0017038	GO:0017038	protein import	Biological Process
199	229	229	ALDOB	Gene
200	GO:0019695	GO:0019695	choline metabolic process	Biological Process
201	3359	3359	HTR3A	Gene
202	GO:0033566	GO:0033566	gamma-tubulin complex localization	Biological Process
203	55148	55148	UBR7	Gene
204	1602	1602	DACH1	Gene
205	9653	9653	HS2ST1	Gene
206	GO:0016062	GO:0016062	adaptation of rhodopsin mediated signaling	Biological Process
207	C0085595	C0085595	Body odor	Side Effect
208	GO:1990172	GO:1990172	G-protein coupled receptor catabolic process	Biological Process
209	WP2374_r73668	WP2374_r73668	Oncostatin M Signaling Pathway	Pathway
210	GO:2000036	GO:2000036	regulation of stem cell population maintenance	Biological Process
211	400863	400863	LINC00649	Gene
212	22853	22853	LMTK2	Gene
213	GO:0035881	GO:0035881	amacrine cell differentiation	Biological Process
214	57804	57804	POLD4	Gene
215	GO:0035767	GO:0035767	endothelial cell chemotaxis	Biological Process
216	GO:0001542	GO:0001542	ovulation from ovarian follicle	Biological Process
217	C0599918	C0599918	Nephrotoxicity	Side Effect
218	4916	4916	NTRK3	Gene
219	ORPHA:3226	ORPHA:3226	Deafness-lymphedema-leukemia syndrome	Disease
220	55798	55798	METTL2B	Gene
221	PC7_6534	PC7_6534	Post-Elongation Processing of Intron-Containing pre-mRNA	Pathway
222	100526737	100526737	RBM14-RBM4	Gene
223	2244	2244	FGB	Gene
224	GO:0071920	GO:0071920	cleavage body	Cellular Component
225	HP:0000568	HP:0000568	Microphthalmia	Symptom
226	57171	57171	DOLPP1	Gene
227	154197	154197	PNLDC1	Gene
228	GO:0002713	GO:0002713	negative regulation of B cell mediated immunity	Biological Process
229	388722	388722	C1orf53	Gene
230	HP:0100833	HP:0100833	Neoplasm of the small intestine	Symptom
231	GO:0090484	GO:0090484	drug transporter activity	Molecular Function
232	3617	3617	IMPG1	Gene
233	54952	54952	TRNAU1AP	Gene
234	ORPHA:398189	ORPHA:398189	Focal facial dermal dysplasia type IV	Disease
235	C0011881	C0011881	Diabetic nephropathy	Side Effect
236	GO:0004582	GO:0004582	dolichyl-phosphate beta-D-mannosyltransferase activity	Molecular Function
237	124491	124491	TMEM170A	Gene
238	1470	1470	CST2	Gene
239	9201	9201	DCLK1	Gene
240	79846	79846	CFAP69	Gene
241	PC7_8264	PC7_8264	Thrombin signalling through proteinase activated receptors (PARs)	Pathway
242	C0853710	C0853710	Blood prolactin decreased	Side Effect
243	GO:0052312	GO:0052312	modulation of transcription in other organism involved in symbiotic interaction	Biological Process
244	GO:0072201	GO:0072201	negative regulation of mesenchymal cell proliferation	Biological Process
245	UBERON:0001646	UBERON:0001646	abducens nerve	Anatomy
246	GO:0050869	GO:0050869	negative regulation of B cell activation	Biological Process
247	C1540600	C1540600	Seizure cerebral	Side Effect
248	C1141949	C1141949	Troponin I increased	Side Effect
249	GO:1900542	GO:1900542	regulation of purine nucleotide metabolic process	Biological Process
250	C0497481	C0497481	Penile pain	Side Effect
251	286238	286238	LOC286238	Gene
252	GO:2001056	GO:2001056	positive regulation of cysteine-type endopeptidase activity	Biological Process
253	GO:0015228	GO:0015228	coenzyme A transmembrane transporter activity	Molecular Function
254	94137	94137	RP1L1	Gene
255	ORPHA:1460	ORPHA:1460	Isolated CoQ-cytochrome C reductase deficiency	Disease
256	GO:0030815	GO:0030815	negative regulation of cAMP metabolic process	Biological Process
257	GO:0008853	GO:0008853	exodeoxyribonuclease III activity	Molecular Function
258	168417	168417	ZNF679	Gene
259	56975	56975	FAM20C	Gene
260	ORPHA:251909	ORPHA:251909	Pineoblastoma	Disease
261	83875	83875	BCO2	Gene
262	ORPHA:314404	ORPHA:314404	Autosomal dominant cerebellar ataxia-deafness-narcolepsy syndrome	Disease
263	C0020429	C0020429	Hyperpathia	Side Effect
264	3485	3485	IGFBP2	Gene
265	11216	11216	AKAP10	Gene
266	C0014122	C0014122	Subacute bacterial endocarditis	Side Effect
267	HP:0002984	HP:0002984	Hypoplasia of the radius	Symptom
268	HP:0002624	HP:0002624	Venous abnormality	Symptom
269	GO:0003179	GO:0003179	heart valve morphogenesis	Biological Process
270	ORPHA:98967	ORPHA:98967	Schnyder corneal dystrophy	Disease
271	1018	1018	CDK3	Gene
272	8493	8493	PPM1D	Gene
273	C1167785	C1167785	Haemorrhagic urticaria	Side Effect
274	DB01118	DB01118	Amiodarone	Compound
275	619208	619208	FAM229B	Gene
276	374407	374407	DNAJB13	Gene
277	114294	114294	LACTB	Gene
278	6487	6487	ST3GAL3	Gene
279	ORPHA:369852	ORPHA:369852	Congenital neutropenia-myelofibrosis-nephromegaly syndrome	Disease
280	ORPHA:221150	ORPHA:221150	Pitt-Hopkins-like syndrome	Disease
281	338674	338674	OR5F1	Gene
282	GO:0019074	GO:0019074	viral RNA genome packaging	Biological Process
283	HP:0001730	HP:0001730	Progressive hearing impairment	Symptom
284	ORPHA:79433	ORPHA:79433	Oculocutaneous albinism type 3	Disease
285	105370374	105370374	LOC105370374	Gene
286	GO:0046541	GO:0046541	saliva secretion	Biological Process
287	GO:0050768	GO:0050768	negative regulation of neurogenesis	Biological Process
288	58529	58529	MYOZ1	Gene
289	219833	219833	C11orf45	Gene
290	GO:0071435	GO:0071435	potassium ion export	Biological Process
291	5641	5641	LGMN	Gene
292	152503	152503	SH3D19	Gene
293	GO:0044298	GO:0044298	cell body membrane	Cellular Component
294	GO:0035247	GO:0035247	peptidyl-arginine omega-N-methylation	Biological Process
295	GO:0000389	GO:0000389	mRNA 3'-splice site recognition	Biological Process
296	64062	64062	RBM26	Gene
297	ORPHA:97261	ORPHA:97261	GRFoma	Disease
298	GO:0035198	GO:0035198	miRNA binding	Molecular Function
299	105369139	105369139	LOC105369139	Gene
300	3033	3033	HADH	Gene
301	8856	8856	NR1I2	Gene
302	GO:0035284	GO:0035284	brain segmentation	Biological Process
303	ORPHA:71278	ORPHA:71278	Congenital brain dysgenesis due to glutamine synthetase deficiency	Disease
304	310	310	ANXA7	Gene
305	HP:0005508	HP:0005508	Monoclonal immunoglobulin M proteinemia	Symptom
306	8451	8451	CUL4A	Gene
307	79006	79006	METRN	Gene
308	653656	653656	MBD3L4	Gene
309	GO:0070875	GO:0070875	positive regulation of glycogen metabolic process	Biological Process
310	9926	9926	LPGAT1	Gene
311	GO:0051152	GO:0051152	positive regulation of smooth muscle cell differentiation	Biological Process
312	GO:0003256	GO:0003256	regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation	Biological Process
313	337966	337966	KRTAP6-1	Gene
314	HP:0001642	HP:0001642	Pulmonic stenosis	Symptom
315	643394	643394	SPINK9	Gene
316	C0235988	C0235988	Serum iron decreased	Side Effect
317	23446	23446	SLC44A1	Gene
318	GO:0060688	GO:0060688	regulation of morphogenesis of a branching structure	Biological Process
319	51594	51594	NBAS	Gene
320	GO:0042384	GO:0042384	cilium assembly	Biological Process
321	C1142172	C1142172	Incision site complication	Side Effect
322	5189	5189	PEX1	Gene
323	79152	79152	FA2H	Gene
324	9592	9592	IER2	Gene
325	D002100	D002100	Cachexia	Symptom
326	HP:0100665	HP:0100665	Angioedema	Symptom
327	ORPHA:36367	ORPHA:36367	Distal monosomy 1q	Disease
328	C0242422	C0242422	Parkinsonism	Side Effect
329	ORPHA:93372	ORPHA:93372	Familial hypocalciuric hypercalcemia type 1	Disease
330	80765	80765	STARD5	Gene
331	ORPHA:88637	ORPHA:88637	Hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome	Disease
332	GO:0007350	GO:0007350	blastoderm segmentation	Biological Process
333	ORPHA:1839	ORPHA:1839	Hereditary mucoepithelial dysplasia	Disease
334	246724	246724	LOC246724	Gene
335	GO:0090155	GO:0090155	negative regulation of sphingolipid biosynthetic process	Biological Process
336	3954	3954	LETM1	Gene
337	C0239836	C0239836	Paraesthesia hand	Side Effect
338	55289	55289	ACOXL	Gene
339	C0015467	C0015467	Facial neuralgia	Side Effect
340	375790	375790	AGRN	Gene
341	105371937	105371937	LOC105371937	Gene
342	1743	1743	DLST	Gene
343	140290	140290	TCP10L	Gene
344	GO:0042339	GO:0042339	keratan sulfate metabolic process	Biological Process
345	445577	445577	C9orf129	Gene
346	HP:0006691	HP:0006691	Pulmonic valve myxoma	Symptom
347	C0033771	C0033771	Prurigo	Side Effect
348	HP:0000336	HP:0000336	Prominent supraorbital ridges	Symptom
349	GO:0018205	GO:0018205	peptidyl-lysine modification	Biological Process
350	7204	7204	TRIO	Gene
351	GO:0002588	GO:0002588	positive regulation of antigen processing and presentation of peptide antigen via MHC class II	Biological Process
352	UBERON:0001064	UBERON:0001064	ventral pancreatic duct	Anatomy
353	GO:0050816	GO:0050816	phosphothreonine binding	Molecular Function
354	HP:0012471	HP:0012471	Thick vermilion border	Symptom
355	GO:0044327	GO:0044327	dendritic spine head	Cellular Component
356	23650	23650	TRIM29	Gene
357	ORPHA:199337	ORPHA:199337	Pancreatic insufficiency-anemia-hyperostosis syndrome	Disease
358	GO:0060544	GO:0060544	regulation of necroptotic process	Biological Process
359	4993	4993	OR2C1	Gene
360	C0235280	C0235280	Ototoxicity	Side Effect
361	PC7_2659	PC7_2659	Coenzyme A biosynthesis	Pathway
362	ORPHA:370091	ORPHA:370091	Oculocutaneous albinism type 5	Disease
363	C1619718	C1619718	Partner stress	Side Effect
364	HP:0004330	HP:0004330	Increased skull ossification	Symptom
365	PC7_8715	PC7_8715	Visual signal transduction: Cones	Pathway
366	64787	64787	EPS8L2	Gene
367	ORPHA:329329	ORPHA:329329	Autosomal recessive frontotemporal pachygyria	Disease
368	10944	10944	C11orf58	Gene
369	GO:0006824	GO:0006824	cobalt ion transport	Biological Process
370	GO:1902580	GO:1902580	single-organism cellular localization	Biological Process
371	HP:0009107	HP:0009107	Abnormal ossification involving the femoral head and neck	Symptom
372	GO:1903430	GO:1903430	negative regulation of cell maturation	Biological Process
373	3758	3758	KCNJ1	Gene
374	27023	27023	FOXB1	Gene
375	DB01174	DB01174	Phenobarbital	Compound
376	GO:0002220	GO:0002220	innate immune response activating cell surface receptor signaling pathway	Biological Process
377	GO:0004175	GO:0004175	endopeptidase activity	Molecular Function
378	6643	6643	SNX2	Gene
379	HP:0009536	HP:0009536	Short 2nd finger	Symptom
380	GO:1904356	GO:1904356	regulation of telomere maintenance via telomere lengthening	Biological Process
381	WP2637_r80029	WP2637_r80029	Structural Pathway of Interleukin 1 (IL-1)	Pathway
382	105373434	105373434	LOC105373434	Gene
383	399968	399968	PATE4	Gene
384	GO:0070203	GO:0070203	regulation of establishment of protein localization to telomere	Biological Process
385	25921	25921	ZDHHC5	Gene
386	PC7_3868	PC7_3868	Facilitative Na+-independent glucose transporters	Pathway
387	DB00697	DB00697	Tizanidine	Compound
388	GO:1902415	GO:1902415	regulation of mRNA binding	Biological Process
389	84342	84342	COG8	Gene
390	154664	154664	ABCA13	Gene
391	GO:0042660	GO:0042660	positive regulation of cell fate specification	Biological Process
392	GO:0019852	GO:0019852	L-ascorbic acid metabolic process	Biological Process
393	GO:0004427	GO:0004427	inorganic diphosphatase activity	Molecular Function
394	GO:0004197	GO:0004197	cysteine-type endopeptidase activity	Molecular Function
395	51135	51135	IRAK4	Gene
396	5978	5978	REST	Gene
397	GO:0060406	GO:0060406	positive regulation of penile erection	Biological Process
398	116092	116092	DNTTIP1	Gene
399	80117	80117	ARL14	Gene
400	GO:0032332	GO:0032332	positive regulation of chondrocyte differentiation	Biological Process
401	HP:0003382	HP:0003382	Hypertrophic nerve changes	Symptom
402	3306	3306	HSPA2	Gene
403	10845	10845	CLPX	Gene
404	81490	81490	PTDSS2	Gene
405	DB01567	DB01567	Fludiazepam	Compound
406	ORPHA:2965	ORPHA:2965	Prolactinoma	Disease
407	583	583	BBS2	Gene
408	8634	8634	RTCA	Gene
409	DB00509	DB00509	Dextrothyroxine	Compound
410	GO:0035616	GO:0035616	histone H2B conserved C-terminal lysine deubiquitination	Biological Process
411	ORPHA:356	ORPHA:356	Gerstmann-Straussler-Scheinker syndrome	Disease
412	PC7_6191	PC7_6191	PLK3 signaling events	Pathway
413	100129846	100129846	LOC100129846	Gene
414	PC7_1559	PC7_1559	Acyl chain remodelling of PE	Pathway
415	6620	6620	SNCB	Gene
416	10007	10007	GNPDA1	Gene
417	25789	25789	TMEM59L	Gene
418	164592	164592	CCDC116	Gene
419	GO:0042308	GO:0042308	negative regulation of protein import into nucleus	Biological Process
420	GO:1990635	GO:1990635	proximal dendrite	Cellular Component
421	GO:0072177	GO:0072177	mesonephric duct development	Biological Process
422	UBERON:0002414	UBERON:0002414	lumbar vertebra	Anatomy
423	HP:0002251	HP:0002251	Aganglionic megacolon	Symptom
424	HP:0007103	HP:0007103	Hypointensity of cerebral white matter on MRI	Symptom
425	139065	139065	SLITRK4	Gene
426	154791	154791	C7orf55	Gene
427	ORPHA:1858	ORPHA:1858	Skeletal dysplasia-epilepsy-short stature syndrome	Disease
428	DB00727	DB00727	Nitroglycerin	Compound
429	C0023467	C0023467	Acute myeloid leukaemia	Side Effect
430	728661	728661	SLC35E2B	Gene
431	GO:0008156	GO:0008156	negative regulation of DNA replication	Biological Process
432	56144	56144	PCDHA4	Gene
433	23493	23493	HEY2	Gene
434	GO:0060932	GO:0060932	His-Purkinje system cell differentiation	Biological Process
435	C0151468	C0151468	Thyroid adenoma	Side Effect
436	GO:0017016	GO:0017016	Ras GTPase binding	Molecular Function
437	GO:0046464	GO:0046464	acylglycerol catabolic process	Biological Process
438	C0042798	C0042798	Vision decreased	Side Effect
439	ORPHA:420566	ORPHA:420566	Bleeding disorder due to CalDAG-GEFI deficiency	Disease
440	HP:0002688	HP:0002688	Absent frontal sinuses	Symptom
441	387	387	RHOA	Gene
442	C0549357	C0549357	Abdominal adhesions	Side Effect
443	10170	10170	DHRS9	Gene
444	GO:0021913	GO:0021913	regulation of transcription from RNA polymerase II promoter involved in ventral spinal cord interneuron specification	Biological Process
445	C0038435	C0038435	Stress	Side Effect
446	GO:0030545	GO:0030545	receptor regulator activity	Molecular Function
447	1816	1816	DRD5	Gene
448	9555	9555	H2AFY	Gene
449	C0034186	C0034186	Pyelonephritis	Side Effect
450	HP:0010442	HP:0010442	Polydactyly	Symptom
451	GO:1904815	GO:1904815	negative regulation of protein localization to chromosome, telomeric region	Biological Process
452	GO:0015297	GO:0015297	antiporter activity	Molecular Function
453	HP:0001552	HP:0001552	Barrel-shaped chest	Symptom
454	C1735646	C1735646	Rash recurrent	Side Effect
455	400757	400757	C1orf141	Gene
456	UBERON:0002226	UBERON:0002226	basilar membrane of cochlea	Anatomy
457	PC7_4061	PC7_4061	GRB2 events in EGFR signaling	Pathway
458	57706	57706	DENND1A	Gene
459	GO:0031668	GO:0031668	cellular response to extracellular stimulus	Biological Process
460	HP:0009042	HP:0009042	Marked muscular hypertrophy	Symptom
461	5330	5330	PLCB2	Gene
462	29062	29062	WDR91	Gene
463	GO:0032763	GO:0032763	regulation of mast cell cytokine production	Biological Process
464	ORPHA:2290	ORPHA:2290	Microvillus inclusion disease	Disease
465	2146	2146	EZH2	Gene
466	29960	29960	FTSJ2	Gene
467	C0020624	C0020624	Hypomenorrhoea	Side Effect
468	C0149782	C0149782	Squamous cell carcinoma of lung	Side Effect
469	219453	219453	OR8K5	Gene
470	GO:0006268	GO:0006268	DNA unwinding involved in DNA replication	Biological Process
471	D002558	D002558	Cerebrospinal Fluid Otorrhea	Symptom
472	C0235575	C0235575	Hemolytic reaction	Side Effect
473	HP:0007272	HP:0007272	Progressive psychomotor deterioration	Symptom
474	27352	27352	SGSM3	Gene
475	C0346306	C0346306	Pituitary microadenoma	Side Effect
476	GO:0046415	GO:0046415	urate metabolic process	Biological Process
477	1364	1364	CLDN4	Gene
478	GO:0072254	GO:0072254	metanephric glomerular mesangial cell differentiation	Biological Process
479	GO:0016072	GO:0016072	rRNA metabolic process	Biological Process
480	GO:0034092	GO:0034092	negative regulation of maintenance of sister chromatid cohesion	Biological Process
481	7345	7345	UCHL1	Gene
482	57510	57510	XPO5	Gene
483	GO:0008307	GO:0008307	structural constituent of muscle	Molecular Function
484	84871	84871	AGBL4	Gene
485	GO:1903051	GO:1903051	negative regulation of proteolysis involved in cellular protein catabolic process	Biological Process
486	259291	259291	TAS2R45	Gene
487	4622	4622	MYH4	Gene
488	143425	143425	SYT9	Gene
489	4943	4943	TBC1D25	Gene
490	440981	440981	LOC440981	Gene
491	C0856110	C0856110	Oedema aggravated	Side Effect
492	GO:0060456	GO:0060456	positive regulation of digestive system process	Biological Process
493	94039	94039	ZNF101	Gene
